key,code,brand,model,type,seats,doors,accelleration,image,tag
7782,7782,Ford,Mustang,Cabriolet,4,2,5.5 sec,https://www.auto-data.net//images/f116/Ford-Mustang-Convertible-IV_1.jpg,0
20655,20655,BMW,1 Series,Coupe,4,2,8.4 sec,https://www.auto-data.net//images/f68/BMW-1-Series-Coupe-E82-LCI-facelift-2011_1.jpg,1
44780,44780,Mercedes-Benz,Fintail,Sedan,5,4,30.2 sec,https://www.auto-data.net//images/f34/Mercedes-Benz-Fintail-W110_1.jpg,2
38170,38170,Mazda,2,Hatchback,5,5,https://www.auto-data.net//images/f35/Mazda-2-III-DJ-facelift-2019_1.jpg,3
47033,47033,Peugeot,107,Hatchback,4,3,14 sec,https://www.auto-data.net//images/f40/Peugeot-107-Phase-II-2008-3-door_1.jpg,4
19047,19047,Audi,A5,Coupe,4,2,7.6 sec,https://www.auto-data.net//images/f81/Audi-A5-Coupe-8T3-facelift-2011_1.jpg,5
19135,19135,Audi,A8,Sedan,5,4,5.9 sec,https://www.auto-data.net//images/f100/Audi-A8-D4-4H-facelift-2013_1.jpg,6
48304,48304,GMC,Sierra 1500,Pick-up,3,2,https://www.auto-data.net//images/f126/GMC-Sierra-1500-I-GMT400-Regular-cab-LWB-Wideside_1.jpg,7
11121,11121,Mazda,MPV,Minivan,7,4,16.4 sec,https://www.auto-data.net//images/f123/Mazda-MPV-I-LV_1.jpg,8
43775,43775,Seat,Ibiza,Hatchback,5,5,12.1 sec,https://www.auto-data.net//images/f41/Seat-Ibiza-V-facelift-2021_1.jpg,9
45013,45013,Jeep,Grand Cherokee,SUV,5,5,https://www.auto-data.net//images/f57/Jeep-Grand-Cherokee-V-WL_1.jpg,10
5961,5961,Pontiac,Firebird,Coupe,2,https://www.auto-data.net//images/f110/Pontiac-Firebird-III_1.jpg,11
40752,40752,Ford,F-Series F-250,Pick-up,6,2,https://www.auto-data.net//images/f104/Ford-F-Series-F-250-VI-SuperCab_1.jpg,12
5234,5234,Land Rover,Discovery,SUV,7,5,11.5 sec,https://www.auto-data.net//images/f126/Land-Rover-Discovery-I_1.jpg,13
